c8:4b:d6:0a:77:2d,192.168.5.168,(A-76MRRL3),Dell Device
18:68:cb:45:1a:ae,192.168.12.0,Hostname not found,Hikvision Device
b8:27:eb:b4:81:6d,192.168.5.172,(kali),Raspberry Pi
,192.168.5.172,(secs),Raspberry Pi
c0:25:a5:66:81:fc,192.168.5.10,Hostname not found,Dell Device
a4:4c:c8:50:c3:6b,192.168.5.0,Hostname not found,Dell Device
bc:5f:f4:45:7c:1e,192.168.5.10,Hostname not found,ASRock Device
